Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
X_Dresumn     24 ger   C 19  5  4  4 32 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Pruclo      24 saf  LC 17  4  4  4 43 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Odni        23 nor   R 11  4  3  5 32 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Unyae       24 isr   C  4 19  6 12 64 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Redr        26 den   L  5 19 10  9 40 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Drewcu      28 spa RLC  3 18 12 11 45 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Ibtajhe     19 nig   L  4 17 11  9 34 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Lany        23 ire   C  4 16  8 10 57 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Btudne      20 jap   R  4 15  9 12 39 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Hubt        24 ita   L  4 15  8  6 61 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Azu         17 bra  LC  4 11  9  9 26 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ersabt      18 den RLC  4 11  9 10 30 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Aprobr      21 hol   R  3  9  9  9 38 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Viyacu      20 cam   L  5  9  9 11 54 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Uksuackan   23 saf   R  4  7 18  9 51 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Urso        18 bul   R  3  8 16  7 48 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Pubrow      18 isr   L  4  9 15 10 73 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Eproavrovr  23 ger   L  5  7 15 11 29 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ocerso      26 den   R  4 10 15  9 44 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ekri        18 ita   L  4  9 14 12 37 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Gruam       23 eng   L  4  6 12  9 59 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Zoakacki    27 aus   C  4  9 12 12 53 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Lugoi       22 eng   L  4  6 12 12 53 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Btoshte     27 arg  RC  5 10 12 10 61 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Grulak      22 spa   C  4 10 11  9 63 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Edsecebt    23 usa   C  3  7 10 17 59 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ashedsevr   22 ger   R  5  9 11 15 48 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Yubtigu     17 saf   L  4  8 10 12 43 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ryer        26 den  LC  4  7  6 11 29 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Sind        29 arg RLC  4  9  9 11 33 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

