Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
O_Ahaerte     19 den   C 16  5  5  4 29 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Shitrem     22 usa   R 15  3  4  4 32 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Evoa        20 nor   R 11  4  3  5 73 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Fonh        18 cro   R  4 19  6 12 26 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ciz         25 ita RLC  4 17  9  6 48 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Fubtiya     22 saf   L  3 16  9  9 55 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Oksi        23 hol   C  3 15  8  6 40 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Praed       27 arg   C  5 15  6 11 50 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Noobewsy    28 arg   L  4 15  9  9 72 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Abtovrors   21 eng   R  4 15  8 11 31 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Eshtibe     20 cam   C  4 13 11 10 53 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Andoshtoj   23 bul   L  4 12 12  6 48 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Jostae      23 bul   R  4 11  6  9 62 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Naenh       29 eng   R  5 11  9  9 45 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Ibtoprovr   27 eng   C  4  8 19  7 67 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Brobibs     24 nor RLC  3  9 18  8 46 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Idse        27 ita   C  4  9 16  9 46 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Uryae       18 fra   L  4 10 15 15 69 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Claebrodnu  18 saf   C  3  7 14  9 59 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ivristu     23 spa  RC  5  8 14 10 47 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Stoksoi     27 nor   R  3  9 14 11 41 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Iryamnivr   22 bra RLC  4 10 12 13 64 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Jhetrae     21 den   C  4  6 11  9 34 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ebri        25 bul  LC  4  7 11 10 72 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Uloart      17 nor   R  3  9 11  9 63 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Damnedn     27 jap RLC  3 11  8 18 72 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Omnoblity   23 usa   L  3  6  9 17 69 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Jish        23 nor   C  4 11  8 16 50 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Vochasy     19 ger   L  4  8  9 15 50 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Trugr       25 jap   C  5 12 10 14 42 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

