Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
M_Onhabsand   27 bra   R 18  5  4  4 45 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Truasyi     29 aus   C 16  5  4  5 66 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Enhikse     26 usa   L 12  4  5  3 53 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Vond        17 cam   L  4 19 12 12 59 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Staez       28 ita   C  4 18  6 12 49 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Gruandua    18 den   R  3 17 10  9 72 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Epubs       23 hol   C  3 17  9 10 73 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ijhity      19 ire   L  4 15 15 12 47 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Esyerst     27 aus   R  3 13 12 11 56 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ablurst     18 spa   C  4 13  9  9 54 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Prustoa     23 ire  LC  3 12 10 10 71 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Chitu       18 ger   L  5 11  6  7 48 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Rap         27 bra RLC  5 11  9 10 74 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Eshaertoo   17 bul   C  4 10 12 12 50 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Lekine      22 den   C  5 12 19 10 67 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Obrityaev   28 saf   L  4  9 15 12 45 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Ebsistas    17 nor   L  3  7 15  8 27 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Zewt        20 spa   L  5  8 14 11 27 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Sanyovri    23 ger   L  4 11 14  6 67 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Edamo       21 usa   R  4  8 14 11 59 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Kridsapra   20 spa   C  5  6 14  7 42 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ilorstoebt  22 isr   C  4 10 12  9 49 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Tigrosyu    26 cam   R  4 11 12 10 47 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Jhuclewpri  19 isr   R  4  6 11  9 66 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ryart       21 ita   C  5  9 11  9 63 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Choack      25 den  RL  5 12 10 18 27 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Istu        27 eng   C  3  9 11 17 28 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Ursam       19 bul   C  4 11  8 15 48 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Pucoi       25 spa  RC  3  6  6 14 59 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Ubtevr      29 spa   L  3  8  9 13 32 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

