Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
X_Istah       25 hol   R 17  3  3  3  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Maendua     26 hol  RL 14  3  3  3  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Urteks      27 arg   R 11  3  3  3  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Opoide      18 ita   C  3 17  9  8  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Ibleyi      23 hol  LC  3 17  7  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Ustoa       27 ita  RC  3 15  8  8  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Veyewgra    21 aus   R  3 14  7  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Opru        20 ire   L  3 14  7  7  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Clegriske   25 jap   L  3 12  7  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ciri        25 hol   R  3 12  7  7  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Otist       23 spa   R  3 11 11  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Usyidr      22 nor  RC  3 11 13  7  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Eshewnda    27 usa RLC  3 11  7  9  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Oskum       17 cam  LC  3 10 12  6  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ferstubr    23 hol   L  3  7 16  7  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Kods        17 arg   C  3  7 15  6  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Roimna      23 aus   R  3  8 13 11  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Irtundu     25 fra  LC  3  7 13  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Eboe        23 arg RLC  3  9 13  5  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Iblo        23 nig   R  3  7 12  8  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ufurtu      25 eng   R  3  7 12  6  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Onyewm      22 jap   R  3  8 12  7  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Tyunyoemn   23 aus   L  3  5 12  9  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Btadnoabt   23 den   C  3  5 11 10  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Ajaclakr    21 fra   C  3  7 10 11  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Roprib      26 cam   L  3  7  7 16  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Trashto     23 nor   R  3  7  7 15  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Siziks      19 eng   L  3  7  6 14  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Erstowbt    28 ger   C  3  6  6 13  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Toof        24 den   L  3  5  6 12  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Stanhuds    22 eng  RL  3  7  7 12  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Girsusti    23 jap   R  3  6  5 11  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Uvuabt      23 bra  RL  3  5  6 11  0  0 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
